,"(mm) Potential Water Deficit (PPT- Hargreaves PET) (gridMET) at -106.9900E,38.9580N, Apr 15 to Jun 15"
"1979",24.3313
"1980",-30.0917
"1981",-34.4631
"1982",-67.3857
"1983",190.3943
"1984",125.3504
"1985",43.931
"1986",17.779
"1987",-83.1401
"1988",-32.8233
"1989",-119.0472
"1990",8.4067
"1991",1.9571
"1992",3.3593
"1993",38.5836
"1994",-96.3623
"1995",262.1252
"1996",-68.7348
"1997",53.5433
"1998",-9.8752
"1999",145.5803
"2000",-67.9407
"2001",-57.4803
"2002",-151.113
"2003",52.1027
"2004",-103.8052
"2005",51.7529
"2006",-121.6083
"2007",-81.0805
"2008",-15.6828
"2009",10.8104
"2010",-4.8868
"2011",149.5225
"2012",-140.9963
"2013",-55.7881
"2014",26.1059
"2015",91.332
"2016",-24.5698
"2017",-74.0355
"2018",-149.9631
"2019",3.1467
"2020",-89.659
"2021",-106.6969
"2022",-109.0197
"2023",-77.4537
"2024",-1.5398
"2025",-68.6923
"2026",-87.6709
