,"(mm) Precipitation (gridMET) at -106.9900E,38.9580N, Nov 1 to Apr 15"
"1980",1049.6376
"1981",504.4076
"1982",816.4452
"1983",724.6403
"1984",982.295
"1985",761.3627
"1986",959.7695
"1987",627.7697
"1988",634.1974
"1989",866.8629
"1990",535.0931
"1991",739.249
"1992",516.0033
"1993",1044.6098
"1994",696.857
"1995",983.868
"1996",919.7102
"1997",872.3033
"1998",726.2969
"1999",619.6004
"2000",653.064
"2001",624.7425
"2002",518.8209
"2003",602.0843
"2004",789.6807
"2005",889.6084
"2006",808.9393
"2007",582.0347
"2008",1148.8422
"2009",926.0086
"2010",560.8423
"2011",927.0939
"2012",536.5609
"2013",709.4881
"2014",918.5538
"2015",524.5039
"2016",486.3074
"2017",855.4
"2018",468.7
"2019",642.2
"2020",493.9
"2021",500
"2022",636.8
"2023",879.2
"2024",564.5
"2025",567.9
"2026",456.4
